Species3;Family3;Order3;Clade;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;Species.Status
Caprimulgus prigoginei;Caprimulgidae;Caprimulgiformes;NA;1;1;0;0;1;20,6;6;5,2;4,3;12,6;161;69,5;91,5;43,2;94,5;57,51;EltonTraits_GenAvg;NA;NO;NA;NA;NA;NA;1;Carnivore;Invertivore;Aerial;-3,89;-3,3;-3,58;28,70748882;2164,65;Extant
Caprimulgus pulchellus;Caprimulgidae;Caprimulgiformes;NA;1;1;0;0;0;13,5;8,5;6;3,3;14,3;154;55,2;98,8;35,8;87;57,51;EltonTraits_GenAvg;NA;YES;"Beak Nares; Beak Width";Caprimulgus saturatus;Forest;1;1;Carnivore;Invertivore;Aerial;-7,98;-0,85;-4,66;104,8703885;28657,44;Extant
Caprimulgus ridgwayi;Caprimulgidae;Caprimulgiformes;NA;4;2;1;1;3;20,5;7,6;5,2;3,4;16,8;150,2;70,4;79,8;46,9;120;48;Dunning;NA;NO;NA;NA;Rock;3;1;Carnivore;Invertivore;Generalist;12,25;33,44;22,92;-103,5917299;631238,26;Extant
Caprimulgus ruficollis;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;23,7;7,4;5;3;20,4;198,2;107;91,3;54;147,8;68,5;Dunning;NA;NO;NA;NA;Forest;2;3;Carnivore;Invertivore;Aerial;29,43;42,51;36,13;-1,627155913;791038,8;Extant
Caprimulgus rufigena;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18;15,9;4,1;2,6;17,1;160,5;74,2;86,2;46,3;114,2;51,96;Dunning;NA;NO;NA;NA;Woodland;3;3;Carnivore;Invertivore;Aerial;-34,44;-8,85;-21,87;22,85424511;3068121,47;Extant
Caprimulgus rufus;Caprimulgidae;Caprimulgiformes;NA;4;0;3;1;3;26,3;10,1;6;3,8;18,4;169;77,8;91,2;46,1;116,2;94,2;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Generalist;-31,62;14,1;-14,51;-52,01943057;5391690,94;Extant
Caprimulgus ruwenzorii;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;16;7,5;4,2;2,8;17,1;158,8;73,2;85,5;46,1;115,5;48,93;Dunning;NA;NO;NA;NA;Forest;2;2;Carnivore;Invertivore;Aerial;NA;NA;NA;NA;NA;Extant
Caprimulgus salvini;Caprimulgidae;Caprimulgiformes;NA;4;1;2;1;4;22;7,6;5,8;3,5;15,4;169;75,4;93,6;44,6;120,8;56;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;19,92;26,78;23,56;-98,73538156;115696,33;Extant
Caprimulgus saturatus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;16;5,7;3,8;3,1;16;144,5;68,9;75,6;47,8;109,2;52;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;8,76;10,4;9,5;-83,46841334;5381,48;Extant
Caprimulgus sericocaudatus;Caprimulgidae;Caprimulgiformes;NA;4;1;3;0;3;23;8,5;6;3,3;17,6;160,7;79,7;81;49,6;122,7;83;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-27,83;-2,35;-18,7;-56,33859133;1167113,56;Extant
Caprimulgus solala;Caprimulgidae;Caprimulgiformes;NA;1;0;0;1;0;22,4;6,9;5;3;20,2;185;89,1;95,9;48,2;114,8;79;Inferred;NA;YES;" Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Tail Length; Body Mass";Caprimulgus tristigma;Grassland;3;NA;Carnivore;Invertivore;Aerial;5,89;6,04;5,96;37,69034251;200,04;Extant
Caprimulgus stellatus;Caprimulgidae;Caprimulgiformes;NA;5;3;2;0;5;12,3;6,4;4,2;2,7;16,6;154,6;63,1;91,5;40,8;93,6;58,2;Dunning;NA;NO;NA;NA;Grassland;3;1;Carnivore;Invertivore;Aerial;2,29;10,35;5,56;37,60372776;123669,26;Extant
Caprimulgus tristigma;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;22,4;6,9;5;3;20,2;171,8;85,5;86,3;49,8;114,8;79;Dunning;NA;NO;NA;NA;Rock;3;1;Carnivore;Invertivore;Aerial;-35,44;15,38;-7,06;21,08057906;4557630,15;Extant
Caprimulgus vociferus;Caprimulgidae;Caprimulgiformes;NA;12;5;4;3;10;19,9;7,3;4,2;2,9;16;157,2;75,2;83,1;47,5;112,8;53,3;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Generalist;13,77;54,53;39;-89,63633822;4417326,01;Extant
Caprimulgus whitelyi;Caprimulgidae;Caprimulgiformes;NA;3;1;2;0;3;17,4;6;4,1;2,7;11,9;155,7;72,2;83,5;46,4;99,3;47;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Aerial;3,37;6,24;4,76;-62,7308804;45695,27;Extant
Chordeiles acutipennis;Caprimulgidae;Caprimulgiformes;NA;7;1;4;2;4;8,5;4,2;3,5;2,4;11,7;164,8;92,5;75;55,1;100,6;48,42;Dunning;NA;NO;NA;NA;Shrubland;2;2;Carnivore;Invertivore;Aerial;-24,87;40,6;3,21;-69,00782759;10568175,91;Extant
Chordeiles gundlachii;Caprimulgidae;Caprimulgiformes;NA;5;1;4;0;4;10,3;3,9;3,3;2,6;12,4;171,2;104;66,5;61;91,2;50;Dunning;NA;NO;NA;NA;Shrubland;2;3;Carnivore;Invertivore;Aerial;15,83;27,23;20,54;-75,53662197;223517,09;Extant
Chordeiles minor;Caprimulgidae;Caprimulgiformes;NA;10;4;2;4;4;12,7;6,1;3,3;2,7;16,7;192,8;118,7;76,6;60,7;104;79,3;Dunning;NA;NO;NA;NA;Grassland;3;3;Carnivore;Invertivore;Aerial;7,21;65,4;45,23;-100,4245937;13037233,58;Extant
Chordeiles pusillus;Caprimulgidae;Caprimulgiformes;NA;9;3;6;0;3;8,7;3,4;1,8;2,4;10,3;125,2;51,1;73,4;41,1;68,4;30,6;Dunning;NA;NO;NA;NA;Grassland;3;2;Carnivore;Invertivore;Aerial;-30,8;9,86;-9,13;-51,65356937;3938258,52;Extant
Chordeiles rupestris;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;12,7;5;3,9;3,1;12,8;164,5;90,3;74,2;54,8;88,2;52,3;Updated_literature;Dunning (2021);NO;NA;NA;Riverine;2;2;Carnivore;Invertivore;Aerial;-17,02;5,51;-3,2;-68,8336708;1639560,09;Extant
Eleothreptus anomalus;Caprimulgidae;Caprimulgiformes;NA;4;3;1;0;4;20;6,3;5;2,7;18,9;129,2;51,8;77,5;40;71,5;43,7;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Aerial;-34,82;-15,17;-25,06;-54,98718005;2166801,06;Extant
Eleothreptus candicans;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;0;20;6,4;4,3;3,1;19,9;151;51,8;77,5;40;103,8;49,3;Dunning;NA;YES;"Beak Culmen; Kipp's Distance; Secondary1; Hand-Wing Index";Eleothreptus anomalus;Grassland;3;1;Carnivore;Invertivore;Aerial;-24,24;-14,5;-18,41;-53,03602375;6633,39;Extant
Eurostopodus archboldi;Caprimulgidae;Caprimulgiformes;NA;3;2;1;0;3;15,6;6,7;3,2;2,8;12,3;205;110;95;53,7;146;77;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-9,86;-1,09;-5,21;141,5535657;74591,66;Extant
Eurostopodus argus;Caprimulgidae;Caprimulgiformes;NA;5;2;3;0;4;16,5;7,1;3,9;3,4;19,7;213,4;110,2;104,2;51,4;149,8;93,39;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Aerial;-38,62;-10,02;-25,19;132,979886;7005397,64;Extant
Eurostopodus diabolicus;Caprimulgidae;Caprimulgiformes;NA;1;1;0;0;1;23,1;8,8;5,8;4,4;13,5;199,5;89;110,4;44,6;130,5;104,38;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-1,75;1,46;-0,95;120,6952668;2929,59;Extant
Eurostopodus macrotis;Caprimulgidae;Caprimulgiformes;NA;6;2;3;1;4;16,7;7,1;5,2;3,8;18,1;266,3;141;120;54;176,2;140,64;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-3,79;28,49;16,45;103,0505789;1646031,46;Extant
Eurostopodus mystacalis;Caprimulgidae;Caprimulgiformes;NA;10;4;3;3;7;19,3;8,2;5,3;3,9;19,2;229,6;121,3;112,8;51,6;148,1;134,52;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Aerial;-39;-5,01;-26,79;148,9991143;1013520,02;Extant
Eurostopodus papuensis;Caprimulgidae;Caprimulgiformes;NA;4;3;1;0;1;14,8;8,6;4,5;3;17,6;189,5;85,8;103,7;45,3;131,5;80,49;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-10,73;-0,34;-5,13;139,9320594;502860,66;Extant
Eurostopodus temminckii;Caprimulgidae;Caprimulgiformes;NA;5;3;2;0;4;21,1;8,2;5,1;3,7;10,7;205,2;106,8;99,2;51,8;124;95,89;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Aerial;-5,95;7,36;0,79;108,5266594;1296744,78;Extant
Hydropsalis climacocerca;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18,6;8,3;5,4;3,4;15;149,5;76,9;72,6;51,5;144,3;46;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Generalist;-17,41;7,45;-4,55;-63,39595719;5856089,27;Extant
Hydropsalis torquata;Caprimulgidae;Caprimulgiformes;NA;5;0;4;1;4;21;9,9;4,3;3;18,1;183,8;91,6;95,6;48,9;337,4;58,5;Dunning;NA;NO;NA;NA;Human Modified;2;2;Carnivore;Invertivore;Generalist;-39,12;2,44;-18,46;-54,34401112;7882112,57;Extant
Lurocalis rufiventris;Caprimulgidae;Caprimulgiformes;NA;4;1;2;1;3;14,5;6,8;4,4;2,7;11,6;202,8;119,8;83;59,1;81;128,5;Updated_literature;Dunning (2021);NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-19,68;10,86;-4,58;-73,38008133;307432,65;Extant
Lurocalis semitorquatus;Caprimulgidae;Caprimulgiformes;NA;5;2;3;0;4;15,5;7,6;4,2;3,7;12,7;185,4;105,2;80;56,8;83,8;75,9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-31,4;17,18;-6,94;-59,87720203;8957931,23;Extant
Macrodipteryx longipennis;Caprimulgidae;Caprimulgiformes;NA;5;2;3;0;4;16,3;5,6;4,1;2,8;20,1;173,2;83,7;88,8;48,3;102,2;48;Dunning;NA;NO;NA;NA;Grassland;3;2;Carnivore;Invertivore;Aerial;1,23;15,4;8,37;6,144530642;3883244,3;Extant
Macrodipteryx vexillarius;Caprimulgidae;Caprimulgiformes;NA;5;2;3;0;4;16,9;5,6;4,3;3;22,8;207,2;82,6;124,6;39,8;127,4;72,24;Dunning;NA;NO;NA;NA;Woodland;3;2;Carnivore;Invertivore;Aerial;-24,72;-4,59;-12,63;27,00367639;3406683,13;Extant
Macropsalis forcipata;Caprimulgidae;Caprimulgiformes;NA;4;0;1;3;4;20;8,6;4,5;3,7;14,9;225,2;121,3;103,9;53,9;658;139;EltonTraits_Model;NA;NO;NA;NA;Forest;2;2;Carnivore;Invertivore;Generalist;-30,9;-18,04;-24,69;-48,13610126;517277,53;Extant
Nyctidromus albicollis;Caprimulgidae;Caprimulgiformes;NA;26;8;15;3;8;16,2;7,2;5;3,5;22,1;150,9;53;95,6;35,8;136,2;57,84;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-31,43;27,65;-5,71;-60,91742572;13748689,24;Extant
Nyctiphrynus mcleodii;Caprimulgidae;Caprimulgiformes;NA;4;1;3;0;4;16,7;6,5;4,5;2,8;17,9;120,5;49,3;71,2;41;106,5;35;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;15,86;30,73;23,15;-104,977648;188114,4;Extant
Nyctiphrynus ocellatus;Caprimulgidae;Caprimulgiformes;NA;6;1;2;3;4;14,2;6,6;3,1;2,9;15,6;125,4;44,7;82,6;35,1;111,9;39,6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-27,21;15,79;-12,91;-56,41649226;3398673,41;Extant
Nyctiphrynus rosenbergi;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;3;14;6,2;5,4;3,6;17,5;123,8;41,5;82,3;33,4;94,5;52;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;0,01;7,81;3,62;-77,73582412;57920,21;Extant
Nyctiphrynus yucatanicus;Caprimulgidae;Caprimulgiformes;NA;3;2;0;1;3;15,7;5,8;4,5;3,2;17,9;109;37,8;71,2;34,6;100;24,5;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Insessorial;16,7;21,33;19,19;-89,10001799;145737,26;Extant
Nyctiprogne leucopyga;Caprimulgidae;Caprimulgiformes;NA;4;1;2;1;4;10,7;4,3;2,1;2,3;12,5;135,8;67,5;68,3;49,6;86,2;27,3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-20,73;10;-4,54;-60,51255265;5244008,15;Extant
Nyctiprogne vielliardi;Caprimulgidae;Caprimulgiformes;NA;2;0;2;0;1;7,5;4,3;3,5;2,3;10,1;126,9;56,7;70,2;44,7;86,3;41;EltonTraits_Model;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Aerial;-15,74;-10,19;-12,21;-43,17041216;23178,01;Extant
Phalaenoptilus nuttallii;Caprimulgidae;Caprimulgiformes;NA;5;2;3;0;4;13,9;6,2;4,2;2,6;17,2;144,2;62,2;83,2;42,8;85,4;48,33;Dunning;NA;NO;NA;NA;Shrubland;3;2;Carnivore;Invertivore;Generalist;21,41;51,9;37,31;-109,4444805;4384334,96;Extant
Podager nacunda;Caprimulgidae;Caprimulgiformes;NA;5;1;3;1;4;19,7;8,9;5,4;4;23,8;238,2;113,4;123,6;47,9;123,6;159;Dunning;NA;NO;NA;NA;Grassland;2;1;Carnivore;Invertivore;Aerial;-35,22;12,46;-9,61;-56,52165442;12270759,1;Extant
Siphonorhis brewsteri;Caprimulgidae;Caprimulgiformes;NA;3;1;2;0;3;15,6;7,3;8,3;3,8;22,9;120,7;39,3;81,3;33;111;37;Updated_literature;Dunning (2021);NO;NA;NA;Woodland;2;2;Carnivore;Invertivore;Aerial;18,41;19,93;19,01;-71,61436291;18693,16;Extant
Uropsalis lyra;Caprimulgidae;Caprimulgiformes;NA;5;0;5;0;3;18,8;6,8;5;2,7;18;176;93;82,7;52,9;685,2;71,2;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-24,46;8,97;-5,9;-71,74538316;231615,96;Extant
Uropsalis segmentata;Caprimulgidae;Caprimulgiformes;NA;5;2;3;0;4;18,2;6,1;4,3;2,5;16,5;163,2;82,9;80,6;50,7;344,4;42,9;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-17,73;7,15;-6,19;-74,53228959;221680,8;Extant
Nyctibius aethereus;Nyctibiidae;Caprimulgiformes;NA;5;1;1;3;4;32,5;11,8;7,4;5,6;10,6;331,8;129,7;211,3;38;301,2;440,45;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-26,8;7,61;-6,53;-61,87017746;4975131,52;Extant
Nyctibius bracteatus;Nyctibiidae;Caprimulgiformes;NA;8;0;4;4;4;19,3;5,9;3,6;3,3;7,5;162,6;68,9;94,1;42,3;129,6;51,65;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-14,13;9,18;-2,3;-66,60124844;4459531,71;Extant
Nyctibius grandis;Nyctibiidae;Caprimulgiformes;NA;7;1;5;1;4;45,3;16,4;6,7;7,6;16,8;374,1;164;211,2;44;250,9;547;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-24,61;17,2;-3,9;-62,2288178;8477906,13;Extant
Nyctibius griseus;Nyctibiidae;Caprimulgiformes;NA;9;4;2;3;4;28,6;11,9;5,1;6,3;10,4;256,4;111;143;43,8;181,8;172,04;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-33,43;13,96;-9,17;-58,42650475;13806169,86;Extant
Nyctibius jamaicensis;Nyctibiidae;Caprimulgiformes;NA;4;1;0;3;4;26,4;10,9;6,1;6,8;16,2;290;147;143;50,7;208,2;266,04;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;9,55;24,65;18,02;-90,85749121;782201,43;Extant
Nyctibius leucopterus;Nyctibiidae;Caprimulgiformes;NA;4;1;3;0;4;19,8;8,3;7,2;3,5;10,4;184,2;81,2;103;44,1;123;86,4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-20,12;9,42;-3,47;-60,95589116;2909112,33;Extant
Nyctibius maculosus;Nyctibiidae;Caprimulgiformes;NA;4;1;3;0;4;24,9;11,1;6,6;5;13,3;271;128,1;142,9;47,3;195,5;170,29;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-16,88;8,49;-4,51;-72,41394053;117205,57;Extant
Batrachostomus affinis;Podargidae;Caprimulgiformes;NA;4;2;2;0;4;19,7;12,6;18,4;9,2;13,5;108,5;27,4;81;25,3;105,5;46,34;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;NA;NA;NA;NA;NA;Extant
Batrachostomus auritus;Podargidae;Caprimulgiformes;NA;6;0;3;3;5;35,5;27,4;42,8;20;21,9;260,5;58,7;201,9;22,5;194,8;206;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-5,16;8,71;1;113,6626026;565685,32;Extant
Batrachostomus cornutus;Podargidae;Caprimulgiformes;NA;5;4;1;0;4;23,9;16,3;21,9;11,3;14,5;133,4;26,8;107;20;117,6;46,3;Inferred;NA;YES;Body Mass;Batrachostomus javensis;Forest;1;1;Carnivore;Invertivore;Insessorial;-7,01;7,36;0,61;111,4597629;860066,39;Extant
Batrachostomus harterti;Podargidae;Caprimulgiformes;NA;1;1;0;0;1;27,5;25,2;37,9;15;13,3;242;66,3;175,7;27,4;158;206;Inferred;NA;YES;Body Mass;Batrachostomus auritus;Forest;1;1;Carnivore;Invertivore;Insessorial;0;3,79;1,74;113,943772;27500,68;Extant
Batrachostomus hodgsoni;Podargidae;Caprimulgiformes;NA;4;2;2;0;4;16,1;10,2;16;7,2;16,6;132,8;33,2;99,5;25;129,2;51;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;15,33;27,89;22,21;97,87685625;119417,56;Extant
Batrachostomus javensis;Podargidae;Caprimulgiformes;NA;4;2;2;0;4;21,2;14,1;17,2;9,6;12,2;113,5;26,8;86,7;23,6;102,5;46,34;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-8,45;19,74;4,64;104,8049477;470055,7;Extant
Batrachostomus mixtus;Podargidae;Caprimulgiformes;NA;4;3;1;0;1;17,6;12,4;17,2;8,4;14,5;118,2;32,6;85,4;27,6;88,5;46,3;Inferred;NA;YES;Body Mass;Batrachostomus javensis;Forest;1;1;Carnivore;Invertivore;Insessorial;-3,55;6,37;2,79;115,3078977;86540,35;Extant
Batrachostomus moniliger;Podargidae;Caprimulgiformes;NA;5;2;3;0;4;20,5;13,7;23,1;9,7;15,7;116;25,6;89,1;22,4;100,6;52,37;Dunning;NA;NO;NA;NA;Woodland;1;1;Carnivore;Invertivore;Insessorial;6,03;15,5;10,17;77,54754062;109433,83;Extant
Batrachostomus poliolophus;Podargidae;Caprimulgiformes;NA;4;2;2;0;3;19,5;13,9;19,9;8,7;14,2;120,3;25;95,3;20,7;92,5;46,3;Inferred;NA;YES;Body Mass;Batrachostomus javensis;Forest;1;1;Carnivore;Invertivore;Insessorial;-3,76;5,17;1,28;99,31792653;93412,75;Extant
Batrachostomus septimus;Podargidae;Caprimulgiformes;NA;5;2;3;0;4;25,5;17,8;27,1;13,4;18,6;156,4;37;119,7;23,6;107,8;86,75;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;5,56;18,65;11,84;123,1619435;251854,35;Extant
Batrachostomus stellatus;Podargidae;Caprimulgiformes;NA;5;2;3;0;4;23,3;17,7;27,1;11,6;14,2;118,4;30,1;85,6;26,1;118,8;51,34;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-5,95;6,53;0,7;110,9304593;738170,25;Extant
Podargus ocellatus;Podargidae;Caprimulgiformes;NA;5;3;2;0;4;33;21,7;30,6;18,5;21,1;176,2;37,8;138,9;21,4;156,2;175,37;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-28,84;-0,01;-6,71;141,6009094;761242,93;Extant
Podargus papuensis;Podargidae;Caprimulgiformes;NA;5;2;2;1;4;51,2;32,5;41,4;27,6;31,8;289,6;78,1;215,6;26,6;267,4;375,73;Dunning;NA;NO;NA;NA;Woodland;3;1;Carnivore;Invertivore;Insessorial;-19,37;0,04;-7,05;141,2562255;958302,87;Extant
Podargus strigoides;Podargidae;Caprimulgiformes;NA;6;2;3;1;4;42,6;22,1;29,3;20,6;28,4;228,8;63;165,8;27,5;172;308,03;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-43,64;-10,02;-25,73;134,483311;7674636,86;Extant
Rigidipenna inexpectata;Podargidae;Caprimulgiformes;NA;3;2;1;0;3;33,9;24,1;35,5;19,2;24;192;52,4;139,6;27,3;166;175,37;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-8,58;-5,01;-6,8;156,5796844;16697,99;Extant
Steatornis caripensis;Steatornithidae;Caprimulgiformes;NA;15;6;5;4;8;36,3;18,2;9,9;14,3;19,1;308,3;120,8;192,1;38,6;200,2;408;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-17,62;11,53;0,87;-70,07298072;1057217,82;Extant
