Species3;Family3;Order3;Clade;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;Species.Status
Thalurania colombica;Trochilidae;Apodiformes;Emeralds;37;9;9;19;5;20,1;17,7;2,3;1,5;4;52,4;36,8;15;71,1;32,8;4,5;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;1,69;16,12;9,89;-78,06844162;454547,85;Extant
Thalurania fannyi;Trochilidae;Apodiformes;Emeralds;5;2;3;0;3;21,1;16,2;2,1;1,6;4,6;51,7;32,5;17,8;64,6;35,4;5;Updated_literature;Dunning (2021);NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-4,04;9,44;4,02;-77,96289091;145004,59;Extant
Thalurania furcata;Trochilidae;Apodiformes;Emeralds;24;10;12;2;14;24;17,8;2,2;2;4,8;54,6;35;19,7;64,1;37,8;4,19;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-27,76;10,77;-8,85;-58,18302593;11225568,61;Extant
Thalurania glaucopis;Trochilidae;Apodiformes;Emeralds;5;2;3;0;4;22,8;18,2;2,3;2,2;3,9;54,9;34,2;20;63,1;36,3;4,8;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-33,87;-12,56;-23,65;-49,7001883;1415794,42;Extant
Thalurania ridgwayi;Trochilidae;Apodiformes;Emeralds;4;1;3;0;4;20,8;17,4;2,8;2,3;4,8;55,8;36,5;19,2;65,5;35,8;3,8;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;18,93;21,68;20,07;-104,5976734;14528,86;Extant
Thalurania watertonii;Trochilidae;Apodiformes;Emeralds;10;2;5;3;4;23,1;19,9;2,3;2,2;3,8;54,5;34,8;19;64,6;51,8;4,6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-11,02;-7,57;-9,18;-35,96153197;34673,09;Extant
Thaumastura cora;Trochilidae;Apodiformes;Bees;5;2;3;0;4;16;12,4;1,6;1,4;4;40,3;26;14,4;64,5;73,4;1,9;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Nectarivore;Aerial;-18,59;-4,11;-11,99;-75,98758781;172105,92;Extant
Threnetes leucurus;Trochilidae;Apodiformes;Hermits;4;2;2;0;4;35;26,4;2,4;2,6;4,7;57,5;37,6;20;65,3;33,5;5,6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-17,19;8,65;-3,31;-64,69905066;5242776,84;Extant
Threnetes niger;Trochilidae;Apodiformes;Hermits;5;0;0;5;4;33,4;27,2;2,5;2,9;4,3;58,8;37,5;21,4;63,8;33,4;5,6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-1,7;5,44;1,21;-52,78185109;270308,39;Extant
Threnetes ruckeri;Trochilidae;Apodiformes;Hermits;6;0;2;4;4;33,4;27,3;3;2,5;5,3;56,6;34,5;21,2;62;36,3;5,2;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-3,64;16,61;8,09;-78,78315522;482644,97;Extant
